arm,epoch,kind,side,sec,ask,fill_px,p,p_venue,ev,thr,rv60,move_bps,spent,win,pnl
8796,1789920900,EF,UP,55.4,0.44,0.44,0.5896,0.435,0.2874,0.25,0.4304,2.45,2.99,0,-2.9929
8795,1789921500,EF,DOWN,33.5,0.38,0.38,0.5098,0.63,0.2834,0.25,0.4076,-2.24,2.99,0,-2.9946
8796,1789921500,EF,DOWN,38.4,0.37,0.3749,0.5098,0.635,0.3171,0.25,0.4059,-3.88,3,0,-2.9956
8795,1789921800,EF,UP,180.9,0.29,0.29,0.5694,0.275,0.866,0.25,0.6726,3.06,2.99,1,6.8359
8796,1789921800,EF,UP,180.7,0.27,0.27,0.5314,0.265,0.8676,0.25,0.6107,3.06,3,1,7.5599
8795,1789922100,EF,UP,35.1,0.5,0.5,0.6776,0.495,0.3078,0.25,0.5468,1.62,2.99,1,2.7889
8796,1789922100,EF,UP,35.2,0.5,0.5,0.6776,0.495,0.3078,0.25,0.6601,2.46,2.99,1,2.7889
8795,1789922400,EF,UP,76,0.37,0.37,0.5314,0.365,0.3729,0.25,0.3957,1.67,3,1,4.7602
8796,1789922400,EF,UP,75.7,0.4,0.4,0.5694,0.395,0.3638,0.25,0.5431,1.67,2.99,1,4.1845
8795,1789923000,EF,UP,58.7,0.48,0.4817,0.6776,0.475,0.3603,0.25,0.721,3.66,2.99,0,-2.9949
8796,1789923000,EF,UP,71,0.36,0.36,0.5314,0.355,0.41,0.25,0.8503,4.89,3,0,-2.9986
8795,1789923300,EF,DOWN,192.3,0.38,0.38,0.5438,0.625,0.369,0.25,0.4961,0.5,2.99,0,-2.9946
8796,1789923300,EF,DOWN,192.5,0.39,0.39,0.5438,0.635,0.3349,0.25,0.4719,0.5,2.99,0,-2.9926
8795,1789923600,EF,DOWN,216.5,0.47,0.47,0.6272,0.535,0.2849,0.25,0.2894,-3.69,3,0,-2.9972
8796,1789923600,EF,DOWN,223.3,0.38,0.38,0.5098,0.625,0.2834,0.25,0.249,-2.21,2.99,0,-2.9946
8795,1789923900,EF,DOWN,151.4,0.34,0.34,0.5098,0.675,0.4301,0.25,1.0878,-0.93,2.99,1,5.4196
8796,1789923900,EF,DOWN,35.8,0.37,0.37,0.5098,0.64,0.3171,0.25,0.5779,-1.06,3,1,10.1798
8796,1789923900,REVERSAL,DOWN,156.2,,0.34,0.6254,,,0,,,2.99,1,10.1798
8795,1789924500,EF,DOWN,60.2,0.34,0.34,0.5098,0.665,0.4301,0.25,0.2129,-1.23,2.99,0,-2.9921
