epoch,utc_time,raw_fired,fixed_fired,side_raw,side_fixed,ask_raw,ask_fixed,won_raw,won_fixed,paper_pnl_raw,paper_pnl_fixed,exec_exp_pnl_raw,exec_exp_pnl_fixed,exec_p05_cum_raw,exec_p95_cum_raw,exec_p05_cum_fixed,exec_p95_cum_fixed,grading_source
1789639800,2026-09-17 10:10:00,1,0,UP,,0.4700,,1,,10.9056,0,5.1892,0,-225.2430,-78.5530,-208.3886,-87.3683,engine
1789645200,2026-09-17 11:40:00,1,1,UP,UP,0.5400,0.5400,0,0,-10.3220,-10.3220,-6.7949,-6.4859,-232.0012,-82.6550,-216.6996,-93.2409,engine
1789646400,2026-09-17 12:00:00,1,1,DOWN,DOWN,0.3300,0.3300,0,0,-10.4690,-10.4690,-6.5677,-6.5462,-239.1685,-90.3173,-222.8768,-100.0077,engine
1789646700,2026-09-17 12:05:00,1,1,UP,UP,0.5500,0.5500,1,1,7.8668,7.8668,3.7942,3.6738,-235.1299,-86.3276,-219.7317,-95.1938,engine
1789647600,2026-09-17 12:20:00,1,1,DOWN,DOWN,0.6400,0.6400,0,0,-10.2520,-10.2520,-6.8311,-6.8102,-241.5729,-92.3511,-225.1717,-100.7627,engine
1789648200,2026-09-17 12:30:00,1,1,DOWN,DOWN,0.4800,0.4600,0,0,-10.3640,-10.3780,-6.7912,-6.7479,-249.1213,-100.0904,-233.1778,-106.1411,engine
1789648500,2026-09-17 12:35:00,1,1,DOWN,DOWN,0.5900,0.5900,1,1,6.6622,6.6622,3.0398,3.0287,-244.3335,-96.9464,-229.9188,-103.7589,engine
1789652700,2026-09-17 13:45:00,1,1,UP,UP,0.5200,0.5200,1,1,8.8948,8.8948,3.9396,4.1652,-240.8707,-93.4511,-226.9073,-101.1977,engine
1789653300,2026-09-17 13:55:00,1,1,UP,UP,0.4300,0.4500,1,1,12.8568,11.8372,6.2457,5.3774,-238.2040,-87.1360,-221.0086,-95.2210,engine
1789657500,2026-09-17 15:05:00,1,1,UP,UP,0.5000,0.5000,1,1,9.6500,9.6500,4.4847,4.4693,-232.9656,-84.9642,-220.5637,-89.6347,engine
1789659900,2026-09-17 15:45:00,1,1,UP,UP,0.4600,0.4600,0,0,-10.3780,-10.3780,-6.5727,-6.7086,-240.0570,-88.3994,-229.1006,-95.7454,engine
1789660500,2026-09-17 15:55:00,1,0,UP,,0.4000,,1,,14.5800,0,6.8689,0,-236.5730,-83.8482,-229.1006,-95.7454,engine
1789661100,2026-09-17 16:05:00,1,0,UP,,0.4800,,0,,-10.3640,0,-6.8539,0,-241.1561,-89.3071,-229.1006,-95.7454,engine
1789662000,2026-09-17 16:20:00,1,0,UP,,0.4500,,1,,11.8372,0,5.8027,0,-237.0637,-82.4097,-229.1006,-95.7454,engine
1789682100,2026-09-17 21:55:00,1,0,DOWN,,0.4500,,1,,11.8372,0,5.7988,0,-231.2529,-76.4214,-229.1006,-95.7454,engine
1789682700,2026-09-17 22:05:00,1,1,DOWN,DOWN,0.6200,0.6200,1,1,5.8630,5.8630,2.6911,2.7304,-226.2908,-74.6678,-225.3839,-94.2081,engine
1789683000,2026-09-17 22:10:00,1,0,DOWN,,0.3900,,0,,-10.4270,0,-7.1249,0,-234.9874,-79.3359,-225.3839,-94.2081,engine
1789690200,2026-09-18 00:10:00,1,0,DOWN,,0.3700,,0,,-10.4410,0,-6.7488,0,-243.0445,-85.8036,-225.3839,-94.2081,engine
1789693500,2026-09-18 01:05:00,1,1,DOWN,DOWN,0.4200,0.4200,0,0,-10.4060,-10.4060,-6.7271,-6.7567,-251.5774,-93.1038,-230.6706,-98.5606,engine
1789694100,2026-09-18 01:15:00,1,1,UP,UP,0.5100,0.5100,0,0,-10.3430,-10.3430,-6.7662,-6.8081,-257.0507,-97.0080,-239.1838,-106.5583,engine
1789701900,2026-09-18 03:25:00,1,1,UP,UP,0.4700,0.4700,1,1,10.9056,10.9056,5.1241,5.2867,-253.3961,-92.4624,-235.7531,-98.4218,engine
1789703100,2026-09-18 03:45:00,1,0,DOWN,,0.4800,,0,,-10.3640,0,-6.3986,0,-258.4345,-98.7077,-235.7531,-98.4218,engine
